title,lyrics,polarity,subjectivity
Cardi b wap,whores house theres whores house theres whores house theres whores house said certified freak seven days week wetass pussy make pullout game weak woo yeah yeah yeah yeah yeah fuckin wetass pussy bring bucket mop wetass pussy give everything got wetass pussy beat nigga catch charge extra large extra hard put pussy right face swipe nose like credit card hop top wanna ride kegel inside spit mouth look eyes pussy wet come take dive tie like im surprised lets roleplay ill wear disguise want park big mack truck right little garage make cream make scream public make scene dont cook dont clean let tell got ring gobble swallow drip side quick jump fore let get inside tell put never tell im bout ill run fore nigga runnin talk shit bite lip ask car ride dick really aint never gotta fuck thang already made mind fore came get boots coat wetass pussy bought phone pictures wetass pussy paid tuition kiss wetass pussy make rain wanna see wetass pussy look need hard hitter need deep stroker need henny drinker need weed smoker garter snake need king cobra hook hope lean got money thats im headed pussy like credit got beard well im tryna wet let taste diabetic dont wanna spit wanna gulp wanna gag wanna choke want touch lil dangly thing swing back throat head game fire punani dasani goin dry comin soggy ride thing like cops behind spit mic tryna sign woo honor im freak bitch handcuffs leashes switch wig make feel like cheatin put knees give somethin believe never lost fight im lookin beatin food chain im one eat ya ate ass hes bottomfeeder big stand big demeanor could make ya bust ever meet ya dont hang cant bang cant hurt feelings like pain fuck ask whose ride dick ima spell name ah yeah yeah yeah yeah fuckin wetass pussy bring bucket mop wetass pussy give everything got wetass pussy top make drop thats wetass pussy get bucket mop thats wetass pussy im talkin wap wap wap thats wetass pussy macaroni pot thats wetass pussy huh theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house,-0.05708705357142858,0.46484375
LDre Steven Universe,meme,0.0,0.0
Popp Hunna Adderall Corvette Corvette,corvette corvette hop motherfuckin jet like jet like like popp walk like talk like walk like uh im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk keep stack know exing moving false thats fact niggas keep talking bout looking niggas cappin know im aint norris im vine th girard exact aint norris thеn im vine th girard еxact fuck opps real yeah im dissing uh drop bag head get rid uh bitch aint duckin action gon get rid tay sliding niggas got missiles im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk got shit dirt dont wanna talk uh niggas sending threats resting piss resting shit fuck niggas made wont admit ungrateful shit even die niggas gon slide uh gon get hit took sip lean shit trippin wasnt dippin tears rollin face cause seen niggas wish different fucked bitch named cece tried say aint alright listen pussy trash real sometimes wish never hit im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk,-0.106,0.418
Jawsh 685 and jason derulo savage love laxed siren beat,jason derulo ah savage love woke without ya dont know would thought could single forever til met usually dont fallin fallin fallin fast got way keepin comin backtoback found reason lovin get back ex lover leave usually would never would never even care baby know creepin feel air every night every day try make stay savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove could use cause still want baby hope aint karma cause get around wanna run wanna lock usually dont fallin fallin fallin fast got way makin spend cash every night every day try make stay savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove could use cause still want savage love savage lololove savage lololove could use baby savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove girl could use cause still want savage love,0.293609022556391,0.4928571428571427
Megan Thee Stallion Savage,im bitch bitch still bitch forever bitch yeah im hood mona lisa break nigga pieces x cheesy niggas circle like pizza im way exclusive dont shop insta boutiques lil ass clothes fit fake booties bad bitch still talking cash shit pussy like water im unbothered relaxing would never trip nigga bitch thats trash maid bagged ah im savage classy bougie ratchet sassy moody nasty acting stupid whats happening bitch whats happening bitch im savage yeah classy bougie ratchet yeah sassy moody nasty huh acting stupid whats happening bitch whats happening eat record edgeup im showing keep niggas private ap im showing beefing bitches really getting kinda boring aint money know im gon ignore im shit ooh need mop clean floor much drip ooh keep knot keep watch keep whip ooh lets play game simon says im still bitch ayy im still bitch yeah im savage classy bougie ratchet sassy moody nasty acting stupid whats happening bitch whats happening bitch im savage yeah classy bougie ratchet yeah sassy moody nasty huh acting stupid whats happening bitch whats happening bitch im lit like match ooh nigga let hit still attached ooh body right know pussy fat ooh drop picture bitches feel attacked ayy dont let nigga gas get whacked ooh make call get pussy nigga smacked uh bitches talkin bout pulling well ooh im lam bitch catch ooh im kickin bitches spot stalli chan yeah niggas say taste like sugar aint shit sweet mwah ayy ayy ooh ooh ooh ooh mwah,-0.280568356374808,0.6815284178187403
Pop Smoke What You Know Bout Love,uh shawty go jogging every morning make breakfast almost every morning take naked pic leave door waking pics nigga yawning every weekend shawty comin shawty could fendi like fashion nova aint driving camry pullin rover hair curly love baby said know bout love got need walk store get want get please bout get take drawers know im go raw cause like see look baby said aint gon front got heart beating fast words cant pronounce getting chills every time feel touch looking top girl us need trust girl told dont make tell twice know see print pants know like yo ass looking fat tights im going straight top hope aint afraid heights always keep right fact never left trials tribulations always best heres fiftyfive hunnid go get breasts start rubbin butt start kissing yo neck hey batter batter hey batter batter niggas know swing make play apply pressure cause hidden treasure think im falling love said know bout love got need walk store get want get please bout get take drawers know im go raw cause like see,0.21609432234432235,0.4870077838827838
Sada Baby Whole Lotta Choppas,im bool bang bang bang ooh lil bitch wan ride told bitch dont get body hmm get right beside ima get thang get slidin bitch makin feel erotic huh gotta get rocket dont give fuck bout milage grandmom related winans ooh thats shit like church girl bitch like christ hmm aint never pipe least kind ima fuck night perc hmm perc pack yeah leave bitch hurt back work hmm work young niggas wakin serve wanna see dance thousanddollar pants dont disrespect mans bang whole lotta choppers ass scram put dollars head snitchinass nigga gave mama feds little brother big brother sada got dreads dz dt sada keep bands lil bitch cant keep pussy hands got real hood rat suki hands stackin blues run tookies ass bay rollin cookies ass nerves g weed gave bustin cause sada cant jealous weed im never stressin see booty bottom thing come double decker let white boy shoot thing sam dekker heard used chew thing hannibal lecter poppin pills like heath ledger drugs aint joke nigga im tellin manager got shelf sellin wanna see thang brandnew vv chains dont disrespect gang bang tshirt full blood stains mmm already dirt name best friend got tshirt name dig big body swerve lane ak hit nigga stomach knock sixpack like cinema hear clickclack thats end riffraff thats end bullshit know got full clip hmm walk use walked right past bitch say excuse hmm thought groupie come find bitch pulled ridin goofy huh hmm huh huh wasnt couch uie bitches wop shakin booty em parking lot showin coochie em bathroom actin unruly huh lil bitch wan ride told bitch dont get body hmm get right beside ima get thang get slidin bitch makin feel erotic huh gotta get rocket dont give fuck bout milage grandmom related winans wanna see dance thousanddollar pants dont disrespect mans bang whole lotta choppers ass,0.10224654377880184,0.42926267281106
Dj chose and beatking thick,whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em yeah runnin round trap right hundred bands lookin like brick yeah ring around rosie ridin play gon feel stick yeah pull red light shawty walk lookin good shawty lookin like lick uh ass back like cake thе ice cream shake banana split pull thе light told whoopwhoop pull ass fat tell boyfriend dont want found racks open door take store let buy want yeah like nene cause bad like tay got ass like neisha got cash go sometimes spazz whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em whats shay whats linn hit raw see public like whats friend talk much still hit cause fool ddddddddddddddick pop ass throw kill pussy covid spread legs dont close im lame ill never expose ya huh baby tryna cut lights bitch fuck stretch marks bend right whats smash partner cant start relationship club godzilla cant smash duck free get bread get head leave keys whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em,-0.12359795377036754,0.4867689781482885
Claire Rosinkranz Backyard Boy,five six seven eight dance backyard boy looking super fine corduroy drive around block go loop well turn volume good boy band tunes love feel fresh air feel eyes stare im gonna lie get little bit scared heart wings im living dreams top lungs sing everything perfect words worth dancin around like clown circus backyard boy make nervous dance backyard boy looking super fine corduroy roll windows let bass drop low everybodys talking dont wanna know feel fresh air feel eyes stare im gonna lie get little bit scared heart wings im living dreams top lungs sing everything perfect words worth dancin around like clown circus backyard boy make nervous right,0.3505639097744361,0.5299498746867168
Tai Verdes Stuck In The Middle,know said said youre player arent bet got hoes said dont know like go flow oh oh said cant fool like youre gonna leave read said dont try know wanna friends friends turn sleepovers sleepovers turn love love turns jealousy fucked cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im said exclusive said wanna seems like love lot said stop joking take seriously said ill try best well wait see cause talks turn sleepless nights sleepless nights turn love love turns impatience fucked cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im stuck middle stuck middle stuck middle stuck middle yououou fights turn making making turns love love turns forever scares us cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im,0.12982456140350876,0.3982456140350876
